id,nome,sexo,data_nascimento,uf,email,telefone,faixa_renda,tipo_carro,forma_pagamento
1,Liam,M,02/12/1984,MG,alopes@example.org,+55 (46) 95297-5940,43668.15,Hatch,Cartão de Débito
2,Eduardo,M,09/09/1959,RJ,maria-julia42@example.com,+55 (57) 94941 5826,39924.16,Híbrido,Cartão de Débito
3,Catarina,F,21/08/1988,RS,tpastor@example.org,+55 64 9 9422-4015,45130.75,Utilitário,Cartão de Débito
4,Rhavi,M,25/10/1974,PE,nicolepastor@example.com,+55 (10) 94399 3348,17686.66,Van,Cartão de Débito
5,Alexandre,M,24/10/1947,AC,jporto@example.com,+55 (72) 9 9724 2650,56620.77,SUV,Dinheiro
6,Hellena,F,09/12/1989,SP,monteiromarcela@example.net,+55 (081) 98002-5543,59373.51,Minivan,Pix
7,Dom,M,16/10/1966,AL,rodriguescalebe@example.org,+55 (36) 90724 5034,21516.33,Híbrido,Leasing
8,Diogo,M,10/05/1958,MS,fonsecavalentim@example.net,+55 (000) 96022-9731,37074.68,Crossover,Cartão de Crédito
9,Gabriel,M,06/04/1997,ES,cgarcia@example.com,+55 89 94027-6236,51563.77,Híbrido,Dinheiro
10,Lorena,F,06/08/1986,RS,luiz-otavio74@example.com,+55 69 97659-8008,32793.45,Conversível,Cartão de Crédito
11,Sophia,F,01/12/1984,RS,albuquerquejosue@example.com,+55 59 9 4172-9672,23537.55,Conversível,Cartão de Débito
12,Alice,F,02/02/1985,RS,mendesvitor-hugo@example.com,+55 (30) 94499 3384,9137.17,Van,Financiamento
13,Ana Júlia,F,19/12/1998,PA,oda-paz@example.com,+55 (027) 93761 3938,20070.41,Elétrico,Financiamento
14,Levi,M,17/10/1982,PE,henry-gabrielmontenegro@example.com,+55 (001) 95380-5052,14169.59,Crossover,Carteira Digital
15,Ana Lívia,F,16/11/1980,MA,ppacheco@example.com,+55 (06) 9 2936 3988,32997.05,Picape,Boleto Bancário
16,Eduardo,M,02/11/1967,RN,manuella85@example.com,+55 10 98459 6392,50966.94,Luxo,Transferência Bancária
17,Luan,M,10/05/1974,RS,arthur-miguelvargas@example.net,+55 97 9 1079 9841,52622.02,Sedan,Carteira Digital
18,Maya,F,13/06/2003,TO,theo03@example.com,+55 (048) 96920 4349,32934.79,Médio,Pix
19,Milena,F,13/08/1973,PA,rhavinunes@example.org,+55 80 99814-7700,39772.58,Luxo,Leasing
20,Enzo Gabriel,M,27/12/1990,PB,sda-cruz@example.com,+55 60 9 0688-9965,48693.75,Híbrido,Cartão de Débito
21,Clarice,F,01/09/1971,SP,biancagoncalves@example.org,+55 (017) 91444-9859,11640.26,Híbrido,Cartão de Débito
22,Ana Lívia,F,23/08/1960,AL,vda-costa@example.org,+55 62 9 8742-1417,9316.08,Elétrico,Dinheiro
23,Isabella,F,08/10/1967,DF,emanuella70@example.net,+55 (18) 9 4598 7519,24967.47,Hatch,Leasing
24,Benicio,M,18/11/2002,GO,lunna50@example.com,+55 (33) 9 6736 1555,12630.54,Coupé,Cartão de Débito
25,Gabriela,F,03/12/1991,SE,davi-lucasmoreira@example.net,+55 (002) 91609-7679,20879.38,Minivan,Carteira Digital
26,Giovanna,F,28/01/1972,MT,enzo45@example.org,+55 80 9 7080 7318,30381.93,Utilitário,Leasing
27,Yasmin,F,19/05/1973,RR,maria-lizfonseca@example.com,+55 (062) 98509 8351,24852.75,Van,Financiamento
28,Ísis,F,23/09/1980,ES,pedro-miguelda-mata@example.net,+55 43 99343-0067,54070.15,Conversível,Financiamento
29,Nathan,M,08/10/1978,PA,martinsliz@example.org,+55 00 96508-2733,43961.74,Utilitário,Dinheiro
30,José,M,10/01/1981,CE,maria-fernandabrito@example.net,+55 (05) 9 0500 4091,10757.19,Conversível,Financiamento
31,Ana Julia,F,26/11/1957,PA,afogaca@example.com,+55 (80) 9 3573-9053,22270.44,Utilitário,Carteira Digital
32,Nicolas,M,13/10/1951,AC,valentinapinto@example.org,+55 (80) 9 4424-0863,31007.35,Coupé,Carteira Digital
33,Benjamim,M,18/05/1973,DF,caleb91@example.com,+55 (81) 92505 4422,47085.52,Van,Pix
34,Agatha,F,07/03/1988,PE,da-costaleandro@example.net,+55 (034) 98947 3712,12163.11,Picape,Boleto Bancário
35,Oliver,M,20/11/1991,MG,eduarda37@example.org,+55 70 9 5629 5891,43878.99,Off-road,Cartão de Crédito
36,Zoe,F,13/08/2006,CE,vitoriaazevedo@example.com,+55 (030) 94340-8171,22583.64,Coupé,Boleto Bancário
37,Isaac,M,13/06/2002,CE,alexiacunha@example.net,+55 17 91540-4408,28720.87,SUV,Leasing
38,Letícia,F,14/02/1963,GO,maya83@example.org,+55 (37) 99563-0807,13006.7,Van,Boleto Bancário
39,Olívia,F,08/02/1991,PB,luiz-otaviolima@example.com,+55 (046) 98081 7190,8388.22,Elétrico,Boleto Bancário
40,Lucas Gabriel,M,09/08/1986,RR,xsousa@example.net,+55 (064) 93842 5471,21832.25,Compacto,Boleto Bancário
41,Antonella,F,22/10/2003,RR,diogo14@example.net,+55 24 93393 4090,30113.67,Off-road,Leasing
42,Yago,M,05/05/1999,RN,juliacamargo@example.com,+55 (096) 90293-7887,29564.02,SUV,Cartão de Crédito
43,Breno,M,31/03/1947,AP,xcarvalho@example.net,+55 91 9 0446-4934,22698.69,Minivan,Transferência Bancária
44,Diego,M,17/04/1951,BA,ipires@example.net,+55 60 99600-1773,53663.27,Compacto,Pix
45,Rodrigo,M,30/01/1997,SC,bella34@example.com,+55 (72) 98746 7689,44900.36,Conversível,Carteira Digital
46,Luiz Miguel,M,07/08/1960,RJ,almeidaalice@example.net,+55 (012) 95422 2947,35762.34,Hatch,Financiamento
47,Aurora,F,21/06/1971,RO,nuneskaique@example.com,+55 52 9 8960 9723,59703.32,Híbrido,Boleto Bancário
48,Stephany,F,30/05/1949,MT,albuquerqueana-clara@example.com,+55 93 95654 4474,32869.03,Crossover,Leasing
49,Dom,M,25/06/1977,RS,vinicius27@example.com,+55 (33) 92532-8792,46351.84,Compacto,Pix
50,Vicente,M,20/10/1976,DF,gda-mata@example.com,+55 55 92106 6929,35590.49,Off-road,Cartão de Débito
51,Mateus,M,29/04/1956,AC,lais97@example.org,+55 (62) 9 7225 3894,34868.95,Esportivo,Cartão de Débito
52,Benício,M,22/08/1975,AL,dnascimento@example.com,+55 75 9 6801-0092,57741.22,Sedan,Carteira Digital
53,Gabriel,M,01/07/1989,PB,heitorpastor@example.com,+55 (096) 99897 4687,14115.71,Hatch,Carteira Digital
54,Maria Júlia,F,25/04/1987,GO,luiz-henrique14@example.com,+55 71 93737-2183,18695.04,Esportivo,Cartão de Crédito
55,Liz,F,14/08/1994,ES,duartevitor-gabriel@example.org,+55 19 9 7217-1849,52641.97,Utilitário,Dinheiro
56,Yan,M,24/02/1947,RS,cassianoolivia@example.org,+55 (68) 9 5411 8630,24210.76,Luxo,Carteira Digital
57,Vitória,F,13/11/1973,SC,ferreirabella@example.net,+55 (98) 9 7902-1416,10875.64,Esportivo,Transferência Bancária
58,Maria Alice,F,13/06/1945,MA,gabrielrodrigues@example.com,+55 (43) 90122-9310,38486.03,Hatch,Transferência Bancária
59,Luiz Henrique,M,11/08/1991,DF,larissa81@example.org,+55 (49) 93363-1308,55248.95,Coupé,Leasing
60,Natália,F,09/05/1996,PA,das-nevesana-luiza@example.com,+55 (07) 9 8624-1796,43413.77,Utilitário,Boleto Bancário
61,Davi Lucca,M,23/01/1957,AC,cnovais@example.com,+55 (041) 92593 6205,23211.79,Crossover,Cartão de Débito
62,Lavínia,F,17/11/1962,RN,lsouza@example.org,+55 96 9 3133 6550,31363.29,Picape,Carteira Digital
63,Miguel,M,13/12/1961,DF,calbuquerque@example.org,+55 (85) 9 6130 4500,56776.42,Esportivo,Boleto Bancário
64,Luiz Felipe,M,27/08/1978,MA,pastorluigi@example.com,+55 (79) 9 5454-2253,53960.76,Minivan,Cartão de Crédito
65,Leonardo,M,27/01/1964,PR,ramosmaria-fernanda@example.org,+55 (36) 9 2392 6038,25422.37,Hatch,Cartão de Crédito
66,Leandro,M,07/10/2002,CE,barbosadom@example.net,+55 43 9 7241-1537,49791.7,SUV,Cartão de Débito
67,Sophia,F,17/03/1986,RS,ana-livia28@example.com,+55 (64) 9 0810 2074,17792.59,Van,Dinheiro
68,Mathias,M,25/09/1948,RO,lorenapereira@example.net,+55 (16) 9 5405 4408,21573.1,Híbrido,Cartão de Crédito
69,Brenda,F,12/02/1947,RS,rebeca85@example.com,+55 (027) 99844 8408,48647.63,Picape,Dinheiro
70,Alana,F,25/02/1965,GO,raulcastro@example.com,+55 (002) 94088 3874,32180.57,SUV,Pix
71,Stephany,F,29/05/1996,AM,laura71@example.net,+55 17 91555-5125,48556.43,SUV,Cartão de Débito
